"id","y_2012","y_2013","y_2014","y_2015"
37063000101,104468.792096991,95001.7590149516,111981.132075472,100500
37063000102,113529.860799282,109617.414248021,114017.152658662,120000
37063000200,169495.285136956,152942.392260334,156264.579759863,193000
37063000301,140713.066906152,110661.389621812,126233.276157804,160000
37063000302,237719.802424787,188959.542656113,196475.986277873,194000
37063000401,187617.422541536,177475.813544415,208692.109777015,203000
37063000402,152439.155814998,153464.37994723,185277.873070326,197000
37063000500,130052.986079928,109617.414248021,118089.193825043,160000
37063000600,180155.365963179,170689.973614776,179678.816466552,220000
37063000700,213201.616524472,172777.924362357,218363.20754717,252000
37063000900,77818.5900314324,78298.1530343008,58026.5866209262,64500
37063001001,66625.5051638976,70990.3254177661,89584.9056603774,89000
37063001002,62894.4768747194,59506.5963060686,70242.7101200686,94000
37063001100,167363.268971711,172255.936675462,230070.325900515,169500
37063001301,60229.4566681635,77254.1776605101,48864.4939965695,64000
37063001303,65026.4930399641,77254.1776605101,59553.602058319,96500
37063001304,48503.3677593175,67336.4116094987,70242.7101200686,86000
37063001400,49569.3758419398,61072.5593667546,42756.4322469983,52000
37063001501,170561.293219578,NA,NA,NA
37063001502,135383.02649304,92913.8082673703,83476.8439108062,186500
37063001503,NA,NA,NA,NA
37063001601,138581.050740907,136760.773966579,134886.363636364,147500
37063001603,150307.139649753,155552.330694811,171025.728987993,170000
37063001604,171094.297260889,174343.887423043,176115.780445969,183500
37063001705,123656.937584194,120579.155672823,123179.245283019,120000
37063001706,161500.224517288,164948.109058927,147102.487135506,159500
37063001707,174825.325550067,172777.924362357,199530.017152659,199000
37063001708,128986.977997306,116925.241864556,119107.204116638,118500
37063001709,111930.848675348,97089.709762533,87548.885077187,122000
37063001710,115128.872923215,118491.204925242,110963.121783877,116000
37063001711,110331.836551414,119013.192612137,125215.265866209,113000
37063001801,132185.002245173,114315.303430079,121143.224699828,120500
37063001802,99138.7516838797,103353.562005277,88057.8902229846,1e+05
37063001806,128986.977997306,133628.847845207,137940.394511149,134000
37063001807,124722.945666816,125277.044854881,128269.296740995,130000
37063001808,199343.511450382,197311.345646438,205638.07890223,209000
37063001809,167896.273013022,156596.306068602,168480.703259005,157000
37063001900,180155.365963179,174343.887423043,183750.857632933,187000
37063002007,173759.317467445,159206.244503078,168989.708404803,171000
37063002008,319802.424786709,302752.858399296,356812.607204117,341000
37063002009,81016.6142792995,85083.9929639402,86530.8747855918,92000
37063002013,139647.058823529,137804.749340369,145575.471698113,154500
37063002015,138048.046699596,136760.773966579,147102.487135506,150000
37063002016,185485.406376291,161294.19525066,173570.754716981,144000
37063002017,231323.753929053,232806.508355321,244322.469982847,241000
37063002018,238252.806466098,219756.816182938,193930.960548885,220000
37063002019,190815.446789403,184783.64116095,171025.728987993,184000
37063002020,238785.810507409,246378.1882146,249412.521440823,265500
37063002021,200409.519533004,178519.788918206,211746.140651801,201500
37063002022,165764.256847777,172255.936675462,167971.698113208,181500
37063002023,184419.398293669,182695.690413369,188331.903945112,195500
37063002024,148708.127525819,151376.429199648,159827.615780446,154000
37063002025,156703.188145487,149810.466138962,162881.646655232,157000
37063002026,135383.02649304,133628.847845207,120125.214408233,130000
37063002027,152439.155814998,149288.478452067,151683.533447684,171000
37063002028,159901.212393354,156596.306068602,171025.728987993,181000
37063002100,214800.628648406,207751.099384345,214800.171526587,228000
37063002200,202541.535698249,180607.739665787,183241.852487136,221500
37063002300,37310.2828917827,55330.6948109059,125724.271012007,175500
37063980100,NA,168080.035180299,228543.310463122,NA
