id,y_2011,y_2013,y_2014
370630001011,0.086858856,0.086179235,0.056923624
370630001012,0.086457712,0.092902178,0.061956205
370630001021,0.063877015,0.047825475,0.051776436
370630001022,0.020704984,0.019002953,0.027010978
370630002001,0.148621479,0.090848457,0.085475886
370630002002,0.23501199,0.02970297,0.036474164
370630002003,0.207627119,0.024,0.029484029
370630003011,0.08134408,0.048739317,0.045231456
370630003012,0.091097642,0.106581796,0.108104607
370630003013,0.02079123,0.047940848,0.035454487
370630003021,0.31511254,0.027027303,0.037094473
370630003022,0.099401502,0.089544619,0.054875505
370630003023,0.13592233,0.016483516,0.035481389
370630004011,0.244389027,0.031914894,0.02955665
370630004012,0.034078515,0.034041666,0.026548673
370630004013,0.220720721,0.039653384,0.039422231
370630004021,0.021453765,0.021752221,0.023837663
370630005001,0.050668195,0.08107146,0.059289308
370630005002,0.368421053,0.042440438,0.05164694
370630005003,0.064795241,0.077765689,0.076094459
370630005004,0.083628176,0.082527494,0.092988041
370630006001,0.056600301,0.034159067,0.012889366
370630006002,0.01470632,0.091671082,0.083299841
370630006003,0.583333333,0.098069262,0.084726732
370630007001,0.068296816,0.09906241,0.082434726
370630007002,0.269230769,0.030848329,0.084147515
370630007003,0.206751055,0.062597388,0.05092969
370630009001,0.088310865,0.076993373,0.099835935
370630009002,0.097616514,0.05981679,0.071455193
370630010011,0.146981188,0.066256246,0.097924628
370630010012,0.112569074,0.127245749,0.147461982
370630010013,0.13607841,0.06910607,0.071058669
370630010021,0.112435624,0.129551715,0.126382346
370630010022,0.164031628,0.034883721,0.028503563
370630010023,0.343859649,0.039215686,0.038709677
370630010024,0.116405938,0.253026568,0.211830646
370630011001,0.023867333,0.062607225,0.061810028
370630011002,0.060183431,0.085929938,0.093752804
370630013011,0.049949075,0.069771706,0.04662701
370630013031,0.129166256,0.061995336,0.062434688
370630013032,0.109113605,0.084302186,0.104242081
370630013041,0.037211846,0.0477251,0.059533069
370630014001,0.043752489,0.083478967,0.072919002
370630014002,0.078862314,0.072858411,0.104009746
370630015011,2.722222222,0.324324324,0.279069767
370630015021,0.049663816,0.048065634,0.06694222
370630015022,0.030615986,0.021510567,0.030981783
370630015023,0.11722488,0.064936662,0.076625135
370630015024,0.192350837,0.206356081,0.194840266
370630015031,3.769230769,,0
370630016011,0.226851852,0.028368794,0.026726058
370630016012,0.084482759,0.020900716,0.017754175
370630016013,0.047389404,0.051617876,0.047271587
370630016031,0.439461883,0.058252427,0.044609665
370630016032,0.02016978,0.080584315,0.056178558
370630016033,0.129592678,0.127272439,0.132237436
370630016034,0.143065693,0.01980198,0.037971067
370630016041,0.022533008,0.051379783,0.040613571
370630016042,0.026508595,0.03329565,0.038460349
370630016043,0.170138889,0.019736842,0.018838305
370630017051,0.078889646,0.174899328,0.153515775
370630017052,0.029593907,0.012931034,0.01171875
370630017053,0.163333333,0.022988506,0.13101289
370630017061,0.027663314,0.026487183,0.028868558
370630017062,0.091162791,0.012048193,0.012474012
370630017071,0.0788561,0.027777778,0.025974026
370630017072,0.041835366,0.040582987,0.063892009
370630017073,0.065091641,0.080240519,0.076401595
370630017074,0.138222849,0.016304348,0.016393443
370630017075,0.027076073,0.01494396,0.015564202
370630017081,0.038561871,0.055279112,0.038270721
370630017091,0.071467764,0.033707865,0.038834951
370630017092,0.154699435,0.044444444,0.053097345
370630017093,0.064136886,0.071007144,0.051778721
370630017101,0.082910321,0.013213068,0.010289232
370630017102,0.057410171,0.080787148,0.073773555
370630017111,0.080718414,0.079442804,0.082653785
370630017112,0.143065693,0.05355972,0.066379699
370630017113,0.07976269,0.064227008,0.068890525
370630018011,0.139800285,0.017804154,0.015544041
370630018012,0.601226994,0.064171123,0.080536913
370630018013,0.045849582,0.044404871,0.054234303
370630018014,0.068678319,0.083639783,0.152355205
370630018015,0.41350211,0.048582996,0.055045872
370630018021,0.05118548,0.038190899,0.016574586
370630018022,0.024725324,0.036515236,0.066547576
370630018023,0.072604463,0.086844611,0.112813402
370630018024,0.162450295,0.198886851,0.108617551
370630018061,0.049707913,0.041539608,0.023056077
370630018062,0.030188883,0.029470964,0.029961153
370630018071,0.019885424,0.016178462,0.018022492
370630018072,0.014790094,0.019125884,0.020599903
370630018073,0.042909924,0.014197568,0.106091504
370630018081,0.044429484,0.017830609,0.014326023
370630018082,0.049802055,0.045790876,0.008362369
370630018091,0.074018127,0.009756098,0.0096
370630018092,0.055529992,0.058012297,0.050997354
370630019001,0.109377734,0.125542572,0.1023193
370630019002,0.022938407,0.012132551,0.007651094
370630020071,0.013888559,0.022623929,0.014354067
370630020072,0.103049422,0.012396694,0.01242236
370630020073,0.25388601,0.02970297,0.029850746
370630020081,0.260638298,0.032697548,0.030927835
370630020082,0.118644068,0.013513514,0.01343785
370630020091,0.019520079,0.034544041,0.041146598
370630020092,0.053668669,0.063878347,0.060074602
370630020093,0.091919715,0.030671049,0.028920912
370630020131,0.039440532,0.016277549,0.026461017
370630020132,0.045745643,0.058129716,0.066387958
370630020133,0.029049861,0.032013741,0.028099347
370630020151,0.069595847,0.102136451,0.098488784
370630020152,0.030296604,0.042808331,0.050884564
370630020153,0.226851852,0.048924769,0.071997798
370630020161,0.073079791,0.019055687,0.024544348
370630020162,0.08680248,0.01000834,0.00845666
370630020171,0.124365482,0.013172338,0.013559322
370630020172,0.030578554,0.018779343,0.018126888
370630020173,0.025109322,0.023268793,0.01887187
370630020181,0.073573574,0.008321775,0.007952286
370630020182,0.066621346,0.007879186,0.014037224
370630020183,0.10359408,0.011730205,0.011846002
370630020191,0.042147365,0.024411215,0.013513514
370630020192,0.129801325,0.014742015,0.014117647
370630020193,0.126614987,0.015,0.016759777
370630020201,0.124840764,0.016460905,0.015056462
370630020202,0.0784,0.008350731,0.007984032
370630020211,0.012964825,0.034899463,0.027924702
