id,y_2010
48,47
112,111
115,113
114,47
136,152
141,169
77,84
146,49
111,104
3,166
128,120
144,114
142,222
81,63
83,133
22,207
18,192
63,106
1,125
145,32
91,329
75,271
23,142
9,44
138,82
6,56
8,60
4,348
76,87
129,109
95,263
96,158
79,91
137,154
45,0
12,46
50,3
130,251
19,27
94,207
143,53
5,63
65,134
150,66
108,162
78,61
61,285
127,190
46,189
97,180
88,78
10,35
20,42
102,127
109,85
13,91
120,192
80,132
126,266
35,42
55,233
25,163
110,181
101,303
27,109
132,212
52,256
60,174
64,126
122,39
133,169
92,171
7,74
36,76
86,70
33,193
82,199
28,64
131,66
34,63
31,88
90,243
47,3
85,144
37,142
2,168
84,135
125,80
139,251
74,460
153,0
100,336
30,70
53,405
17,99
14,100
140,280
32,102
62,438
118,365
121,274
152,18
49,37
21,80
135,148
54,129
93,89
38,152
51,258
26,97
123,79
87,167
134,86
99,201
71,486
11,75
113,395
56,261
148,268
58,367
67,287
117,298
16,70
105,283
29,73
66,177
116,303
147,363
72,91
69,228
149,322
104,289
89,317
119,743
98,148
59,468
151,86
106,202
15,89
42,342
24,138
68,105
44,142
124,428
57,204
70,708
39,125
107,299
103,191
40,206
73,97
41,120
43,95
