id,y_2010
1,302.086
2,34.822
3,322.83
4,3.072
5,201.21
6,147.987
7,162.986
8,258.52
9,366.115
10,191.771
11,286.579
12,132.3
13,486.658
14,190.008
15,120.36
16,109.32
17,250.985
18,65.725
19,173.28
20,203.148
21,83.52
22,233.536
23,152.082
24,70.047
25,198.9
26,63.168
27,211.303
28,168.354
29,85.739
30,147.96
31,152.208
32,142.592
33,87.084
34,285.147
35,91.756
36,302.348
37,191.04
38,405.822
39,155.232
40,81.6
41,251.415
42,220.692
43,52.32
44,114.546
45,31.941
46,48.868
47,128.876
48,457.93
49,141.375
50,142.131
51,298.597
52,86.55
53,18.054
54,78.126
55,329.866
56,172.5
57,208
58,104.709
59,271.005
60,177.288
61,127.05
62,111.333
63,188.889
64,288.156
65,363.2
66,103.638
67,96.82
68,98.15
69,180.67
70,191.73
71,70.094
72,76.464
73,26.864
74,256.624
75,60.121
76,89.376
77,165.44
78,90.447
79,74.784
80,45.674
81,42.537
82,99.678
83,72.828
84,109.282
85,64.08
86,43.68
87,74.024
88,70.24
89,119.88
90,48.42
91,101.831
92,95.448
93,205.986
94,127.296
95,299.16
96,342.638
97,125.208
98,85.31
99,91.274
100,336.008
101,88.332
102,124.839
103,133.016
104,191.835
105,167.552
106,42.3
107,62.96
108,96.525
109,742.313
110,62.853
111,283.696
112,202.539
113,261.351
114,267.546
115,468.93
116,161.512
117,437.475
118,135.026
119,61.408
120,105.721
121,79.875
122,206.635
123,168.299
124,181.152
125,78.336
126,66.164
127,266.478
128,280.292
129,169.395
130,347.1
131,137.788
132,46.574
133,36.774
134,134.568
135,228.464
136,708.05
137,317.044
138,243.66
139,89.1
140,263.974
141,158.976
142,395.252
143,55.55
144,144.343
145,112.112
146,363.847
147,274.96
148,39.172
149,428.643
150,79.248
151,0
152,0
153,3.882
