id,y_2011a,y_2013a
1,3.80%,6.80%
2,12.00%,1.60%
3,3.60%,3.60%
4,3.40%,3.20%
5,11.70%,6.30%
6,1.90%,6.20%
7,4.50%,6.00%
8,18.80%,2.10%
9,3.20%,4.70%
10,6.10%,7.20%
11,12.20%,16.30%
12,1.40%,3.70%
13,2.00%,6.00%
14,7.60%,7.80%
15,6.10%,5.60%
16,11.10%,7.40%
17,7.10%,6.60%
18,42.20%,9.40%
19,6.80%,5.90%
20,20.60%,4.00%
21,43.80%,13.00%
22,8.90%,4.80%
23,3.60%,2.60%
24,58.00%,19.80%
25,5.00%,7.10%
26,15.50%,3.30%
27,8.60%,1.70%
28,27.40%,2.60%
29,26.60%,3.70%
30,18.10%,2.20%
31,33.10%,5.30%
32,35.10%,10.30%
33,8.80%,1.20%
34,29.80%,4.60%
35,6.60%,3.60%
36,7.00%,3.80%
37,7.20%,3.80%
38,29.00%,4.60%
39,31.30%,3.30%
40,5.20%,8.50%
41,59.80%,6.50%
42,3.00%,3.70%
43,37.40%,5.40%
44,18.60%,5.60%
45,3.80%,7.20%
46,10.00%,1.30%
47,30.40%,3.70%
48,9.80%,1.20%
49,43.90%,4.90%
50,6.30%,9.60%
51,12.50%,7.50%
52,3.20%,4.60%
53,3.40%,3.40%
54,43.20%,8.30%
55,4.40%,4.00%
56,5.50%,3.40%
57,5.00%,6.30%
58,6.90%,5.80%
59,3.10%,3.30%
60,4.00%,4.70%
61,11.30%,8.80%
62,5.00%,3.60%
63,3.40%,3.40%
64,8.80%,2.70%
65,4.20%,3.90%
66,3.50%,5.60%
67,4.30%,4.60%
68,5.60%,8.10%
69,4.60%,5.20%
70,4.50%,6.20%
71,3.50%,3.40%
72,52.10%,0.60%
73,22.80%,4.60%
74,3.60%,4.60%
75,5.00%,3.50%
76,15.00%,1.70%
77,21.00%,2.00%
78,13.60%,1.80%
79,12.00%,4.80%
80,6.50%,5.10%
81,49.70%,13.90%
82,2.50%,1.70%
83,24.50%,2.40%
84,49.20%,4.50%
85,9.80%,6.90%
86,11.10%,9.50%
87,3.60%,1.20%
88,8.90%,7.70%
89,2.80%,5.00%
90,2.50%,3.30%
91,6.90%,5.10%
92,3.60%,3.10%
93,4.00%,2.10%
94,9.00%,5.60%
95,3.30%,3.70%
96,2.40%,3.80%
97,1.70%,1.30%
98,6.80%,10.90%
99,3.60%,2.80%
100,2.60%,3.60%
101,4.30%,5.70%
102,11.10%,18.70%
103,6.10%,9.90%
104,3.90%,3.80%
105,6.40%,1.70%
106,17.40%,2.80%
107,4.60%,4.40%
108,4.30%,3.90%
109,2.50%,6.40%
110,2.80%,3.60%
111,1.70%,4.30%
112,8.10%,1.10%
113,50.30%,3.60%
114,6.00%,0.60%
115,3.40%,4.30%
116,4.50%,4.40%
117,5.40%,5.90%
118,5.70%,6.30%
119,3.50%,5.40%
120,3.80%,7.50%
121,4.20%,3.50%
122,9.60%,3.20%
123,2.90%,2.50%
124,12.40%,9.50%
125,6.00%,5.70%
126,5.30%,5.40%
127,5.80%,5.30%
128,16.30%,2.10%
129,1.50%,0.70%
130,3.10%,3.80%
131,6.20%,4.40%
132,2.70%,3.00%
133,6.00%,4.70%
134,4.30%,4.30%
135,9.30%,5.60%
136,2.20%,1.90%
137,5.20%,7.30%
138,15.50%,1.40%
139,3.50%,6.20%
140,0.70%,1.30%
141,12.90%,1.30%
142,0.70%,1.80%
143,9.70%,6.40%
144,5.70%,6.90%
145,2.90%,1.50%
146,5.90%,2.00%
147,3.90%,4.50%
148,1.50%,3.00%
149,2.90%,5.20%
150,2.20%,2.70%
151,46.90%,5.30%
152,155.60%,7.20%
153,408.30%,29.30%
