id,y_2011a,y_2013a
1,21.50%,2.70%
2,12.00%,1.60%
3,1.90%,1.50%
4,12.30%,1.70%
5,26.70%,2.60%
6,2.50%,5.40%
7,4.20%,5.40%
8,18.80%,2.10%
9,10.60%,2.50%
10,10.10%,3.60%
11,7.10%,5.50%
12,6.30%,10.90%
13,2.70%,2.80%
14,4.30%,3.30%
15,4.90%,2.30%
16,5.00%,5.70%
17,2.10%,4.30%
18,5.40%,7.50%
19,4.70%,3.10%
20,3.60%,4.90%
21,43.80%,8.80%
22,1.20%,2.30%
23,2.10%,3.50%
24,58.00%,7.60%
25,8.10%,3.80%
26,25.80%,3.30%
27,1.60%,1.80%
28,27.40%,2.60%
29,26.60%,3.70%
30,18.10%,2.20%
31,33.10%,5.30%
32,35.10%,2.20%
33,10.00%,4.80%
34,56.30%,4.60%
35,23.00%,3.60%
36,32.20%,3.80%
37,29.50%,3.90%
38,29.00%,3.50%
39,31.30%,3.30%
40,12.70%,0.90%
41,59.80%,6.50%
42,12.00%,1.20%
43,37.40%,5.40%
44,4.10%,2.00%
45,15.90%,0.60%
46,4.20%,4.70%
47,30.40%,3.70%
48,9.80%,1.20%
49,43.90%,4.90%
50,23.60%,6.10%
51,17.60%,2.30%
52,5.80%,0.80%
53,17.10%,1.70%
54,43.20%,8.30%
55,7.80%,0.80%
56,17.30%,2.00%
57,10.40%,1.40%
58,2.50%,1.30%
59,6.30%,0.80%
60,11.70%,1.40%
61,12.90%,1.70%
62,10.80%,1.20%
63,15.80%,2.10%
64,4.50%,4.90%
65,7.20%,1.40%
66,14.00%,1.60%
67,9.60%,1.10%
68,25.60%,3.60%
69,10.30%,1.20%
70,16.10%,4.70%
71,5.70%,0.60%
72,52.10%,3.90%
73,22.80%,4.60%
74,6.90%,0.80%
75,7.00%,0.90%
76,15.00%,1.70%
77,21.00%,1.80%
78,1.70%,2.40%
79,12.00%,1.50%
80,11.10%,1.80%
81,49.70%,6.60%
82,8.10%,0.80%
83,24.50%,2.40%
84,49.20%,4.50%
85,13.00%,1.30%
86,11.10%,1.50%
87,12.20%,1.20%
88,33.00%,4.50%
89,12.90%,1.40%
90,5.80%,0.70%
91,7.00%,0.80%
92,5.40%,0.60%
93,1.30%,0.90%
94,11.40%,1.30%
95,7.10%,0.60%
96,6.00%,0.80%
97,5.20%,0.60%
98,48.50%,6.30%
99,9.00%,1.00%
100,2.40%,2.40%
101,8.00%,0.90%
102,18.50%,2.30%
103,24.10%,3.10%
104,8.70%,1.00%
105,13.30%,1.70%
106,17.40%,2.80%
107,13.40%,1.60%
108,11.40%,1.50%
109,18.00%,2.70%
110,9.80%,1.00%
111,8.00%,1.10%
112,1.30%,1.50%
113,50.30%,5.10%
114,6.00%,0.60%
115,9.20%,1.00%
116,9.20%,1.00%
117,19.10%,18.60%
118,8.80%,0.90%
119,10.00%,1.20%
120,5.80%,0.70%
121,7.20%,0.80%
122,9.60%,1.20%
123,3.00%,1.20%
124,12.10%,1.40%
125,1.30%,1.00%
126,4.90%,1.90%
127,5.30%,1.10%
128,16.30%,2.10%
129,5.90%,0.70%
130,8.30%,2.90%
131,13.70%,1.40%
132,9.40%,1.30%
133,1.60%,0.80%
134,15.50%,2.30%
135,1.70%,2.10%
136,9.10%,0.80%
137,6.50%,1.00%
138,15.50%,1.40%
139,11.90%,1.70%
140,5.30%,0.60%
141,12.90%,1.30%
142,1.20%,1.30%
143,9.70%,1.60%
144,10.10%,0.90%
145,10.90%,1.50%
146,5.90%,0.70%
147,11.50%,1.10%
148,9.30%,1.50%
149,9.70%,1.30%
150,1.10%,1.90%
151,46.90%,5.30%
152,155.60%,7.20%
153,408.30%,29.30%
