id,y_2010
68,0.307958713
75,1.140206279
66,0.675688838
64,1.605270272
112,0.481227092
46,0.342600837
104,1.156947349
147,18.24984792
111,0.497153458
26,0.525348571
17,0.552971017
110,0.886715598
18,0.343335558
16,0.53724965
36,0.181779787
19,0.180034406
52,2.564068464
8,0.335045956
91,1.243478859
92,1.404888953
94,1.176545348
39,0.282125829
109,0.568419595
72,0.392115667
100,0.680159014
31,0.23446077
1,0.716691614
83,2.788093123
33,0.634938468
87,0.958226224
35,0.128587236
34,0.347676538
73,0.351139968
119,0.652121442
5,0.713746561
105,1.303111914
106,0.653876595
56,1.850726184
148,33.73147697
59,2.761875967
108,0.628793401
62,1.278140941
15,0.28159966
3,0.616942375
13,0.256367128
11,0.235178279
12,0.173379919
20,0.15820142
14,0.496192663
29,0.195696876
27,0.430507717
28,0.200266836
9,0.101660717
7,0.257591557
30,0.19528094
41,0.145393961
114,0.520618382
32,0.45327003
43,0.177940521
40,0.433300968
102,0.356623707
107,0.891452701
42,0.667712881
84,11.17685474
78,0.329992648
63,0.815515339
21,0.183238566
22,0.690685936
2,0.599079151
97,1.852390236
123,4.363049372
150,0.593992964
126,3.619409211
140,1.634090705
141,2.73599029
4,0.933345945
24,1.41921302
48,0.325914264
49,0.213915733
65,0.667550257
69,2.06870952
70,1.600499557
89,11.42273748
90,4.086255636
93,0.999827032
95,5.857019056
96,2.880643826
113,0.468481013
6,0.195212715
85,1.425157598
115,0.609783314
118,2.281563535
121,3.392054104
122,1.904870878
124,1.372102983
125,2.7814258
153,8.233348864
45,1.057802272
50,0.161973569
101,1.284883035
10,0.101154444
149,19.46911853
47,0.066702663
99,16.68287289
98,9.012644933
25,0.358960519
51,5.967935268
58,1.923324297
120,1.761066138
67,1.64428794
80,1.783992721
71,2.508962573
127,1.92097994
128,0.414428532
129,0.476114607
130,0.527096428
131,0.357921069
60,4.806009882
57,5.188346064
77,0.88508627
55,2.190745225
38,0.265813717
86,0.419841393
82,4.000113733
81,0.373725576
132,0.531750112
133,1.185931986
134,0.226600741
135,0.266859576
136,0.856800629
23,0.666165352
76,0.330951535
61,0.783905021
79,0.309745821
116,4.322940369
103,0.848165037
53,1.854806201
137,0.875012186
138,0.64207343
139,0.594458974
142,3.394428744
143,0.294960583
144,4.345266505
145,0.268706107
146,3.748872155
54,0.767949868
74,2.45493807
44,0.554277327
37,0.273192162
117,0.912292094
151,0.250494356
152,0.223979257
88,0.777037688
