id,y_2010
48,394
112,479
115,422
114,704
136,556
141,385
77,286
146,346
111,577
3,701
128,448
144,586
142,909
81,164
83,370
22,537
18,25
63,299
1,272
145,169
91,946
75,691
23,571
9,165
138,329
6,228
8,234
4,401
76,700
129,273
95,717
96,496
79,397
137,624
45,32
12,263
50,45
130,525
19,74
94,495
143,237
5,181
65,328
150,250
108,368
78,456
61,330
127,440
46,531
97,637
88,260
10,142
20,334
102,154
109,190
13,284
120,328
80,550
126,1074
35,248
55,716
25,54
110,534
101,465
27,241
132,275
52,752
60,446
64,413
122,245
133,858
92,966
7,163
36,409
86,538
33,1068
82,738
28,242
131,230
34,221
31,442
90,1228
47,21
85,602
37,535
2,558
84,140
125,615
139,636
74,1328
153,1
100,317
30,230
53,330
17,215
14,204
140,717
32,411
62,256
118,645
121,581
152,45
49,59
21,334
135,161
54,140
93,819
38,323
51,211
26,224
123,147
87,711
134,127
99,442
71,1094
11,138
113,27
56,220
148,494
58,429
67,318
117,237
16,124
105,473
29,235
66,201
116,606
147,474
72,281
69,395
149,373
104,481
89,336
119,296
98,131
59,647
151,189
106,272
15,175
42,771
24,99
68,132
44,602
124,232
57,422
70,171
39,231
107,385
103,249
40,195
73,282
41,100
43,318
