id,y_2010
48,2117
112,2183
115,2156
114,3228
136,2114
141,1473
77,1305
146,2572
111,2253
3,2585
128,1416
144,2246
142,4164
81,658
83,1279
22,2431
18,1155
63,1373
1,1261
145,1183
91,3266
75,2581
23,2228
9,728
138,1360
6,1111
8,1019
4,1950
76,2124
129,1822
95,2966
96,2484
79,1582
137,2464
45,3070
12,1114
50,1941
130,2485
19,584
94,2080
143,1635
5,861
65,1869
150,1946
108,1553
78,1616
61,1611
127,3016
46,2391
97,2664
88,898
10,757
20,1289
102,816
109,898
13,1533
120,2701
80,1890
126,3862
35,846
55,2624
25,718
110,2030
101,2306
27,1082
132,1613
52,2984
60,1824
64,2310
122,1399
133,3582
92,3450
7,974
36,1296
86,1629
33,3045
82,2550
28,801
131,1195
34,787
31,1299
90,3930
47,1024
85,2033
37,1947
2,1891
84,746
125,2032
139,2265
74,4163
153,4
100,1732
30,878
53,1698
17,1963
14,898
140,3548
32,1289
62,1535
118,3007
121,2455
152,177
49,454
21,1065
135,1233
54,638
93,2700
38,1278
51,1124
26,1030
123,1536
87,2176
134,1033
99,2118
71,3989
11,779
113,691
56,1227
148,2193
58,1979
67,1601
117,1339
16,694
105,1904
29,867
66,1068
116,2308
147,2270
72,971
69,1744
149,1899
104,1947
89,1742
119,2327
98,729
59,2842
151,1154
106,1119
15,931
42,2557
24,518
68,627
44,1625
124,1473
57,1782
70,1445
39,1128
107,1662
103,960
40,3121
73,975
41,555
43,984
