id,sqmi,y_2012,y_2013,y_2014,y_2015,test
3.7063E+11,0.568419596,1,1,1,0,1.759263767
3.7063E+11,0.886715601,1,0,0,1,1.127757309
3.7063E+11,0.497153458,17,7,4,8,34.19467317
3.7063E+11,0.48122709,19,9,2,5,39.48239902
3.7063E+11,0.468481022,13,7,9,4,27.74925639
3.7063E+11,0.520618377,16,10,11,7,30.73268387
3.7063E+11,0.609783299,7,14,11,10,11.47948789
3.7063E+11,4.329841801,2,0,2,2,0.461910641
3.7063E+11,0.912292079,1,2,3,2,1.096140176
3.7063E+11,2.357877943,7,3,7,2,2.968771145
3.7063E+11,1.821663267,2,0,0,1,1.097897749
3.7063E+11,1.761066146,4,6,9,5,2.271351369
3.7063E+11,3.392054126,2,5,2,2,0.589613233
3.7063E+11,1.904870874,0,4,1,0,0
3.7063E+11,4.790395116,0,1,2,0,0
3.7063E+11,1.372102992,0,1,0,1,0
3.7063E+11,3.623867394,1,1,0,1,0.275948287
3.7063E+11,1.92097994,9,10,4,6,4.685108789
3.7063E+11,0.41442852,4,5,2,1,9.651845393
3.7063E+11,0.476114605,6,0,4,2,12.60200787
3.7063E+11,0.52709642,4,2,4,3,7.588744389
3.7063E+11,0.357921065,4,3,3,0,11.17564846
3.7063E+11,0.531750113,1,5,0,2,1.880582581
3.7063E+11,1.185931987,2,1,1,2,1.686437352
3.7063E+11,0.22660075,0,2,0,0,0
3.7063E+11,0.85680063,2,5,3,3,2.334265323
3.7063E+11,0.875012195,4,4,1,0,4.571364859
3.7063E+11,0.642073432,3,5,3,1,4.672362771
3.7063E+11,0.594458963,14,12,4,6,23.55082665
3.7063E+11,1.634090705,25,24,21,10,15.29902833
3.7063E+11,2.735990264,1,7,3,3,0.365498377
3.7063E+11,3.400243568,30,31,30,16,8.82289736
3.7063E+11,0.294960582,2,1,6,4,6.780567042
3.7063E+11,4.345266517,4,4,4,5,0.920541924
3.7063E+11,0.373135573,0,0,0,1,0
3.7063E+11,3.752826235,5,9,9,5,1.332329207
3.7063E+11,0.593992944,29,32,27,18,48.82212879
3.7063E+11,0.25049435,42,45,18,19,167.6684521
3.7063E+11,0.223979253,19,38,21,29,84.82928565
3.7064E+11,8.236903632,2,4,3,2,0.242809688
