id,y_2010
48,51
112,76
115,57
114,70
136,48
141,40
77,32
146,95
111,50
3,63
128,41
144,63
142,149
81,13
83,21
22,83
18,21
63,45
1,24
145,33
91,71
75,81
23,29
9,14
138,39
6,28
8,35
4,41
76,68
129,49
95,70
96,76
79,33
137,67
45,40
12,26
50,39
130,76
19,22
94,56
143,49
5,27
65,50
150,55
108,40
78,37
61,37
127,84
46,28
97,64
88,16
10,33
20,22
102,30
109,39
13,47
120,96
80,53
126,116
35,13
55,76
25,17
110,68
101,70
27,29
132,54
52,66
60,32
64,66
122,49
133,122
92,89
7,22
36,16
86,37
33,53
82,40
28,14
131,39
34,11
31,19
90,82
47,30
85,49
37,34
2,49
84,18
125,69
139,44
74,96
153,0
100,20
30,16
53,37
17,50
14,30
140,69
32,23
62,30
118,64
121,85
152,1
49,10
21,34
135,19
54,8
93,63
38,26
51,27
26,29
123,46
87,49
134,34
99,40
71,116
11,23
113,9
56,28
148,39
58,48
67,43
117,30
16,18
105,37
29,18
66,18
116,62
147,46
72,16
69,26
149,31
104,29
89,12
119,32
98,8
59,38
151,7
106,22
15,21
42,56
24,6
68,5
44,38
124,23
57,43
70,11
39,23
107,24
103,14
40,67
73,11
41,22
43,12
