id,y_2012,y_2013,y_2014,y_2015
Five Oaks,0.179112341,0.179112341,0.179112341,0.179112341
Five Oaks 4100,0.025927884,0.025927884,0.025927884,0.025927884
Folkstone,0.051534414,0.051534414,0.051534414,0.051534414
Forest Acres,0.0601291,0.0601291,0.0601291,0.0601291
Forest Hills,0.527101418,0.527101418,0.527101418,0.527101418
Forest Oaks,0.030748836,0.030748836,0.030748836,0.030748836
Fortunes Ridge,0.129456601,0.129456601,0.129456601,0.129456601
Fox Run,0.436102577,0.436102577,0.436102577,0.436102577
Garret Farms - Porchlight / Hartley,0.01393203,0.01393203,0.01393203,0.01393203
Glennstone,0.09652427,0.09652427,0.09652427,0.09652427
Golden Belt,0.065365491,0.065365491,0.065365491,0.065365491
Grande Park,0.071045838,0.071045838,0.071045838,0.071045838
Green Mill,0.045681133,0.045681133,0.045681133,0.045681133
Heather Glen,0.386331989,0.386331989,0.386331989,0.386331989
Highgate,0.065832403,0.065832403,0.065832403,0.065832403
Hillandale Commons,0.033274683,0.033274683,0.033274683,0.033274683
Holston Meadows,0.015373787,0.015373787,0.015373787,0.015373787
Homeplace I,0.019806364,0.019806364,0.019806364,0.019806364
Homeplace II,0.041071437,0.041071437,0.041071437,0.041071437
Hope Valley,2.152058056,2.152058056,2.152058056,2.152058056
Hope Valley Downs,0.032084068,0.032084068,0.032084068,0.032084068
Hope Valley Forest,0.288311695,0.288311695,0.288311695,0.288311695
Hope Valley Green,0.050981985,0.050981985,0.050981985,0.050981985
Horton Hills,0.100377892,0.100377892,0.100377892,0.100377892
Huckleberry Heights,0.158072345,0.158072345,0.158072345,0.158072345
Huntington Ridge,0.052609245,0.052609245,0.052609245,0.052609245
Inverness Drive,0.186427034,0.186427034,0.186427034,0.186427034
Knollwood,0.056196015,0.056196015,0.056196015,0.056196015
Lake Park,0.121646863,0.121646863,0.121646863,0.121646863
Lakehurst,0.184833753,0.184833753,0.184833753,0.184833753
Latta Woods,0.043936079,0.043936079,0.043936079,0.043936079
Lattamoor,0.035119401,0.035119401,0.035119401,0.035119401
Lochaven Hills,0.198928039,0.198928039,0.198928039,0.198928039
Lochnora,0.209853256,0.209853256,0.209853256,0.209853256
Lochside,0.14000167,0.14000167,0.14000167,0.14000167
Marbry Landing,0.075909365,0.075909365,0.075909365,0.075909365
Bent Creek / Woodberry Forest,0.2273377,0.2273377,0.2273377,0.2273377
Newhall Village,0.013115561,0.013115561,0.013115561,0.013115561
Myers Park/Beechgrove,0.236727722,0.236727722,0.236727722,0.236727722
Nancy Rhodes Creek,0.781362824,0.781362824,0.781362824,0.781362824
North Durham Community,0.367693813,0.367693813,0.367693813,0.367693813
Oak Grove Community,0.37220164,0.37220164,0.37220164,0.37220164
Oakhaven,0.030372209,0.030372209,0.030372209,0.030372209
Oakhurst,0.041652412,0.041652412,0.041652412,0.041652412
Old Five Points,0.02445037,0.02445037,0.02445037,0.02445037
Orchard Ridge,0.034192587,0.034192587,0.034192587,0.034192587
Orchid Court,0.004052654,0.004052654,0.004052654,0.004052654
Pagehurst,0.048039353,0.048039353,0.048039353,0.048039353
Parc at University,0.026030093,0.026030093,0.026030093,0.026030093
Park Ridge,0.05003768,0.05003768,0.05003768,0.05003768
Parkwood,1.049103103,1.049103103,1.049103103,1.049103103
Penrith,0.917747933,0.917747933,0.917747933,0.917747933
Ravenstone,0.327409019,0.327409019,0.327409019,0.327409019
Ridgefield,0.176107988,0.176107988,0.176107988,0.176107988
River Forest,0.127293609,0.127293609,0.127293609,0.127293609
Rockwood,0.305639877,0.305639877,0.305639877,0.305639877
Scarsdale Village,0.670290493,0.670290493,0.670290493,0.670290493
