id,y_2012,y_2013,y_2014,y_2015,y_2016
370630020221,11.33,11.33,11.33,11.33,11.33
370630020222,11.05,11.05,11.25,11.06,12.21
370630020231,6.08,6.08,6.08,6.08,6.08
370630020232,7.38,7.38,8.78,8.78,8.78
370630020241,16.28,16.28,16.65,17.24,17.62
370630020242,6.69,6.69,6.69,6.69,6.69
370630020243,7.56,7.56,7.56,7.56,7.56
370630020251,8.95,8.95,9.15,9.31,9.46
370630020252,10.46,10.46,10.46,10.49,10.47
370630020253,5.96,5.96,5.99,6.02,5.99
370630020261,10.14,10.14,10.33,10.15,10.31
370630020262,18.27,18.27,18.36,18.34,18.32
370630020271,6.32,6.32,6.73,7.67,7.72
370630020272,21.24,21.24,25.46,24.66,25.86
370630020273,10.53,10.53,10.54,10.54,10.51
370630020281,9.95,9.95,10.23,10.23,10.8
370630020282,8.32,8.32,8.32,8.32,9.74
370630020283,20.47,20.47,20.97,24.53,26.51
370630021001,5.31,5.31,5.39,5.44,9.66
370630021002,,,,,
370630021003,,,,,
370630022001,4.98,4.98,8.01,11.91,7.03
370630023001,3.56,3.56,3.31,3.51,3.56
370630023002,0.79,0.79,2.21,2.38,2.09
370639801001,0.00,0.00,0.00,0.00,0
