id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630017052,134000,114500,124000,138500,150500,151000,138750,168250,167000,157250,150000,305000,143664,132750,142000,185000
370630017053,105000,117500,92000,101000,104000,118500,108000,105000,103000,115000,91674,112250,99500,115760,127250,130000
370630017061,185750,208750,210000,206000,398500,332500,279750,252750,225000,255000,198500,182000,206000,187500,207000,251500
370630017062,117000,124000,126000,131750,127500,134000,136000,119000,145000,125000,111250,122500,120750,117250,123500,131000
370630017071,157500,161000,178000,198500,182500,184000,181750,194000,191250,188000,155000,289000,185000,221500,295000,250000
370630017072,135500,154000,148000,153500,156000,167000,180000,148000,185250,150000,131000,156000,181000,213750,200000,202500
370630017073,186000,157000,211000,283000,289000,185000,184000,240000,255500,195395,184500,222500,176000,287500,205000,285000
370630017074,172500,184500,166250,196500,205000,215000,217250,198000,204000,198500,178000,195000,202000,203000,170500,218000
370630017075,478000,476500,327500,520000,528250,496000,490000,542500,532000,540000,483000,402500,575000,530500,686500,582500
370630017081,84000,132000,118750,136000,155000,158000,170750,145250,153000,140000,143000,123500,110000,113000,118250,149000
370630017091,72750,62000,88473,55000,86000,61758,112500,70000,55000,30000,45000,42500,42606,45000,47500,57000
370630017092,78000,74000,59000,87000,65000,62000,95000,65000,35939,78250,52500,39250,60000,74000,60030,65238
370630017093,48750,99756,167500,161000,172250,169000,155000,147000,125000,104398,117000,97369,121500,134500,125000,169000
370630017101,130000,133000,137500,137000,145500,154000,140500,149500,142500,139750,121500,111000,117500,134500,138950,151000
370630017102,116500,120000,112000,126000,135000,131000,133500,104500,95000,116000,115000,99000,107500,96000,123000,128000
370630017111,107000,98500,114000,116750,123000,140000,169750,139000,137500,137000,132500,133750,144000,157000,146000,165500
370630017112,107000,130000,129750,133000,130000,119000,132500,144000,123500,110000,174000,137252,115000,153000,130000,115000
370630017113,77000,80000,74000,77000,79000,71500,87500,89500,85000,71608,63000,65000,67440,65000,73000,71000
370630018011,117000,133000,128500,140000,146000,142000,161500,145000,139500,142500,91715,112500,132000,129076,132853,152500
370630018012,105000,63000,71000,110000,111000,120750,136750,79000,85768,71000,63500,51000,102000,100000,116500,148000
370630018013,91000,115000,134500,86838,116000,146000,149500,151500,132000,121236,141000,141750,134000,134000,116000,127000
370630018014,70000,122000,79000,131500,121000,127751,120000,131000,133750,114000,111500,95000,95000,98500,118000,132000
370630018015,126500,87000,37750,130250,122000,104000,98000,125250,130000,89000,45250,180000,70000,116000,70500,119912
370630018021,117500,113804,96000,90000,122000,90000,117750,119659,114250,93500,62000,42000,72136,88625,114000,54000
370630018022,105000,108000,92000,100500,105000,100422,89000,106148,73530,72994,70500,49806,90205,91500,81201,121500
370630018023,105000,105500,85000,105000,125000,123500,128000,112500,103969,51000,87000,90000,96720,103000,86000,109500
370630018024,86000,65000,68500,57250,100000,42000,95500,75000,73259,50000,39028,61500,85000,34125,40500,84000
370630018061,133000,101250,112500,118250,134000,135000,127500,112699,135000,106378,109000,129000,140000,86000,137000,136000
370630018062,129000,123500,136000,145000,153500,160500,165250,163000,142000,149933,140000,116500,135000,142000,155000,178000
370630018071,108250,120000,120750,132000,117000,140500,179500,155000,130000,115000,121000,86000,115500,119500,120000,154000
370630018072,145500,149250,154000,149500,163000,153000,148000,150000,145500,135750,109000,126616,140000,149500,160500,163000
370630018073,127750,134000,123000,130000,141250,150000,150000,140500,125000,124500,105000,108000,112000,123500,133500,148000
370630018081,169000,171500,185750,174500,177500,193000,190000,177000,185896,177500,157500,157500,175000,165000,184500,195000
370630018082,130000,140000,135000,211750,219500,230000,250500,251000,261500,259500,215000,214000,220750,233000,244000,271500
370630018091,103750,119000,142750,142500,160000,176750,160000,148000,143000,139000,130000,113000,125000,155000,133000,154000
370630018092,182000,200250,197000,201500,170000,181000,198250,188500,205000,197000,182000,191000,190000,221000,206500,225000
370630019001,78500,133000,160000,134750,172500,160000,154000,154000,166250,220000,87750,234000,355000,355250,318000,375250
370630019002,124250,130000,157000,181000,188500,162750,195000,187500,175000,188000,175000,183000,182500,191500,198000,209000
370630020071,135000,157500,156000,171750,170000,174000,208000,187500,182000,169500,188000,194000,189250,207250,215000,243000
370630020072,154250,142000,146000,156000,174750,175000,181500,187000,152250,182000,187500,175500,175000,171000,200000,178000
370630020073,180000,124000,136717,145500,235250,265000,149000,176750,234500,171000,160000,234250,178000,251000,145000,189000
370630020081,362750,429500,395000,381000,508750,500000,432500,405000,592500,354500,430000,616000,638500,503500,550000,579000
370630020082,255000,211750,269750,230000,233500,263750,273750,269000,270000,265000,316000,324925,266250,429500,367000,324750
370630020091,82500,85000,88000,88000,100750,93000,122000,112000,58750,34000,89000,68800,50500,54000,71000,92250
370630020092,114000,88000,82500,83000,110000,105500,82500,117500,59313,54500,48750,72000,72500,78191,46250,111750
370630020093,90000,89000,78650,72500,88000,90000,98500,87000,60000,75500,48500,38000,64500,76600,70000,94000
370630020131,125000,126500,123000,117500,129000,125000,129000,144000,133500,123000,126250,143500,142500,149000,145000,193750
