id,y_2010
1,2306
2,757
3,1899
4,1024
5,2118
6,729
7,718
8,1124
9,1979
10,2701
11,1601
12,1890
13,3989
14,3016
15,1416
16,1822
17,2485
18,1195
19,1824
20,1782
21,1305
22,2624
23,1278
24,1629
25,2550
26,658
27,1613
28,3582
29,1033
30,1233
31,2114
32,2228
33,2124
34,1611
35,1582
36,2308
37,960
38,1698
39,2464
40,1360
41,2265
42,4164
43,1635
44,2246
45,1183
46,2572
47,638
48,4163
49,1625
50,1947
51,1339
52,1154
53,177
54,898
55,3266
56,3450
57,2080
58,627
59,2581
60,1068
61,2310
62,2183
63,2391
64,1947
65,2270
66,2253
67,1030
68,1963
69,2030
70,1155
71,694
72,1296
73,584
74,2984
75,1019
76,931
77,2585
78,1533
79,779
80,1114
81,1289
82,898
83,867
84,1082
85,801
86,728
87,974
88,878
89,555
90,3228
91,1289
92,984
93,3121
94,816
95,1662
96,2557
97,1128
98,898
99,971
100,1732
101,1299
102,1261
103,1279
104,3045
105,2176
106,846
107,787
108,975
109,2327
110,861
111,1904
112,1119
113,1227
114,2193
115,2842
116,1553
117,1535
118,746
119,1616
120,1373
121,1065
122,2431
123,1891
124,2664
125,1536
126,1946
127,3862
128,3548
129,1473
130,1950
131,518
132,2117
133,454
134,1869
135,1744
136,1445
137,1742
138,3930
139,2700
140,2966
141,2484
142,691
143,1111
144,2033
145,2156
146,3007
147,2455
148,1399
149,1473
150,2032
151,4
152,3070
153,1941
